image,class_id,class_type,time_of_day,range,orientation
INPUT\Dataset\cegr1923\cegr01923_0002_1083_SUV.mat,0002,SUV,Night,1000,1083
INPUT\Dataset\cegr1923\cegr01923_0002_1084_SUV.mat,0002,SUV,Night,1000,1084
INPUT\Dataset\cegr1923\cegr01923_0002_1085_SUV.mat,0002,SUV,Night,1000,1085
INPUT\Dataset\cegr1923\cegr01923_0002_1086_SUV.mat,0002,SUV,Night,1000,1086
INPUT\Dataset\cegr1923\cegr01923_0002_1087_SUV.mat,0002,SUV,Night,1000,1087
INPUT\Dataset\cegr1923\cegr01923_0002_1088_SUV.mat,0002,SUV,Night,1000,1088
INPUT\Dataset\cegr1923\cegr01923_0002_1089_SUV.mat,0002,SUV,Night,1000,1089
INPUT\Dataset\cegr1923\cegr01923_0002_1090_SUV.mat,0002,SUV,Night,1000,1090
INPUT\Dataset\cegr1923\cegr01923_0002_1091_SUV.mat,0002,SUV,Night,1000,1091
INPUT\Dataset\cegr1923\cegr01923_0002_1092_SUV.mat,0002,SUV,Night,1000,1092
INPUT\Dataset\cegr1923\cegr01923_0002_1093_SUV.mat,0002,SUV,Night,1000,1093
INPUT\Dataset\cegr1923\cegr01923_0002_1094_SUV.mat,0002,SUV,Night,1000,1094
INPUT\Dataset\cegr1923\cegr01923_0002_1095_SUV.mat,0002,SUV,Night,1000,1095
INPUT\Dataset\cegr1923\cegr01923_0002_1096_SUV.mat,0002,SUV,Night,1000,1096
INPUT\Dataset\cegr1923\cegr01923_0002_1097_SUV.mat,0002,SUV,Night,1000,1097
INPUT\Dataset\cegr1923\cegr01923_0002_1098_SUV.mat,0002,SUV,Night,1000,1098
INPUT\Dataset\cegr1923\cegr01923_0002_1099_SUV.mat,0002,SUV,Night,1000,1099
INPUT\Dataset\cegr1923\cegr01923_0002_1100_SUV.mat,0002,SUV,Night,1000,1100
INPUT\Dataset\cegr1923\cegr01923_0002_1101_SUV.mat,0002,SUV,Night,1000,1101
INPUT\Dataset\cegr1923\cegr01923_0002_1102_SUV.mat,0002,SUV,Night,1000,1102
INPUT\Dataset\cegr1923\cegr01923_0002_1103_SUV.mat,0002,SUV,Night,1000,1103
INPUT\Dataset\cegr1923\cegr01923_0002_1104_SUV.mat,0002,SUV,Night,1000,1104
INPUT\Dataset\cegr1923\cegr01923_0002_1105_SUV.mat,0002,SUV,Night,1000,1105
INPUT\Dataset\cegr1923\cegr01923_0002_1106_SUV.mat,0002,SUV,Night,1000,1106
INPUT\Dataset\cegr1923\cegr01923_0002_1107_SUV.mat,0002,SUV,Night,1000,1107
INPUT\Dataset\cegr1923\cegr01923_0002_1108_SUV.mat,0002,SUV,Night,1000,1108
INPUT\Dataset\cegr1923\cegr01923_0002_1109_SUV.mat,0002,SUV,Night,1000,1109
INPUT\Dataset\cegr1923\cegr01923_0002_1110_SUV.mat,0002,SUV,Night,1000,1110
INPUT\Dataset\cegr1923\cegr01923_0002_1111_SUV.mat,0002,SUV,Night,1000,1111
INPUT\Dataset\cegr1923\cegr01923_0002_1112_SUV.mat,0002,SUV,Night,1000,1112
INPUT\Dataset\cegr1923\cegr01923_0002_1113_SUV.mat,0002,SUV,Night,1000,1113
INPUT\Dataset\cegr1923\cegr01923_0002_1114_SUV.mat,0002,SUV,Night,1000,1114
INPUT\Dataset\cegr1923\cegr01923_0002_1115_SUV.mat,0002,SUV,Night,1000,1115
INPUT\Dataset\cegr1923\cegr01923_0002_1116_SUV.mat,0002,SUV,Night,1000,1116
INPUT\Dataset\cegr1923\cegr01923_0002_1117_SUV.mat,0002,SUV,Night,1000,1117
INPUT\Dataset\cegr1923\cegr01923_0002_1118_SUV.mat,0002,SUV,Night,1000,1118
INPUT\Dataset\cegr1923\cegr01923_0002_1119_SUV.mat,0002,SUV,Night,1000,1119
INPUT\Dataset\cegr1923\cegr01923_0002_1120_SUV.mat,0002,SUV,Night,1000,1120
INPUT\Dataset\cegr1923\cegr01923_0002_1121_SUV.mat,0002,SUV,Night,1000,1121
INPUT\Dataset\cegr1923\cegr01923_0002_1122_SUV.mat,0002,SUV,Night,1000,1122
INPUT\Dataset\cegr1923\cegr01923_0002_1123_SUV.mat,0002,SUV,Night,1000,1123
INPUT\Dataset\cegr1923\cegr01923_0002_1124_SUV.mat,0002,SUV,Night,1000,1124
INPUT\Dataset\cegr1923\cegr01923_0002_1125_SUV.mat,0002,SUV,Night,1000,1125
INPUT\Dataset\cegr1923\cegr01923_0002_1126_SUV.mat,0002,SUV,Night,1000,1126
INPUT\Dataset\cegr1923\cegr01923_0002_1127_SUV.mat,0002,SUV,Night,1000,1127
INPUT\Dataset\cegr1923\cegr01923_0002_1128_SUV.mat,0002,SUV,Night,1000,1128
INPUT\Dataset\cegr1923\cegr01923_0002_1129_SUV.mat,0002,SUV,Night,1000,1129
INPUT\Dataset\cegr1923\cegr01923_0002_1130_SUV.mat,0002,SUV,Night,1000,1130
INPUT\Dataset\cegr1923\cegr01923_0002_1131_SUV.mat,0002,SUV,Night,1000,1131
INPUT\Dataset\cegr1923\cegr01923_0002_1132_SUV.mat,0002,SUV,Night,1000,1132
INPUT\Dataset\cegr1923\cegr01923_0002_1133_SUV.mat,0002,SUV,Night,1000,1133
INPUT\Dataset\cegr1923\cegr01923_0002_1134_SUV.mat,0002,SUV,Night,1000,1134
INPUT\Dataset\cegr1923\cegr01923_0002_1135_SUV.mat,0002,SUV,Night,1000,1135
INPUT\Dataset\cegr1923\cegr01923_0002_1136_SUV.mat,0002,SUV,Night,1000,1136
INPUT\Dataset\cegr1923\cegr01923_0002_1137_SUV.mat,0002,SUV,Night,1000,1137
INPUT\Dataset\cegr1923\cegr01923_0002_1138_SUV.mat,0002,SUV,Night,1000,1138
INPUT\Dataset\cegr1923\cegr01923_0002_1139_SUV.mat,0002,SUV,Night,1000,1139
INPUT\Dataset\cegr1923\cegr01923_0002_1140_SUV.mat,0002,SUV,Night,1000,1140
INPUT\Dataset\cegr1923\cegr01923_0002_1141_SUV.mat,0002,SUV,Night,1000,1141
INPUT\Dataset\cegr1923\cegr01923_0002_1142_SUV.mat,0002,SUV,Night,1000,1142
INPUT\Dataset\cegr1923\cegr01923_0002_1143_SUV.mat,0002,SUV,Night,1000,1143
INPUT\Dataset\cegr1923\cegr01923_0002_1144_SUV.mat,0002,SUV,Night,1000,1144
INPUT\Dataset\cegr1923\cegr01923_0002_1145_SUV.mat,0002,SUV,Night,1000,1145
INPUT\Dataset\cegr1923\cegr01923_0002_1146_SUV.mat,0002,SUV,Night,1000,1146
INPUT\Dataset\cegr1923\cegr01923_0002_1147_SUV.mat,0002,SUV,Night,1000,1147
INPUT\Dataset\cegr1923\cegr01923_0002_1148_SUV.mat,0002,SUV,Night,1000,1148
INPUT\Dataset\cegr1923\cegr01923_0002_1149_SUV.mat,0002,SUV,Night,1000,1149
INPUT\Dataset\cegr1923\cegr01923_0002_1150_SUV.mat,0002,SUV,Night,1000,1150
INPUT\Dataset\cegr1923\cegr01923_0002_1151_SUV.mat,0002,SUV,Night,1000,1151
INPUT\Dataset\cegr1923\cegr01923_0002_1152_SUV.mat,0002,SUV,Night,1000,1152
INPUT\Dataset\cegr1923\cegr01923_0002_1153_SUV.mat,0002,SUV,Night,1000,1153
INPUT\Dataset\cegr1923\cegr01923_0002_1154_SUV.mat,0002,SUV,Night,1000,1154
INPUT\Dataset\cegr1923\cegr01923_0002_1155_SUV.mat,0002,SUV,Night,1000,1155
INPUT\Dataset\cegr1923\cegr01923_0002_1156_SUV.mat,0002,SUV,Night,1000,1156
INPUT\Dataset\cegr1923\cegr01923_0002_1157_SUV.mat,0002,SUV,Night,1000,1157
INPUT\Dataset\cegr1923\cegr01923_0002_1158_SUV.mat,0002,SUV,Night,1000,1158
INPUT\Dataset\cegr1923\cegr01923_0002_1159_SUV.mat,0002,SUV,Night,1000,1159
INPUT\Dataset\cegr1923\cegr01923_0002_1160_SUV.mat,0002,SUV,Night,1000,1160
INPUT\Dataset\cegr1923\cegr01923_0002_1161_SUV.mat,0002,SUV,Night,1000,1161
INPUT\Dataset\cegr1923\cegr01923_0002_1162_SUV.mat,0002,SUV,Night,1000,1162
INPUT\Dataset\cegr1923\cegr01923_0002_1163_SUV.mat,0002,SUV,Night,1000,1163
INPUT\Dataset\cegr1923\cegr01923_0002_1164_SUV.mat,0002,SUV,Night,1000,1164
INPUT\Dataset\cegr1923\cegr01923_0002_1165_SUV.mat,0002,SUV,Night,1000,1165
INPUT\Dataset\cegr1923\cegr01923_0002_1166_SUV.mat,0002,SUV,Night,1000,1166
INPUT\Dataset\cegr1923\cegr01923_0002_1167_SUV.mat,0002,SUV,Night,1000,1167
INPUT\Dataset\cegr1923\cegr01923_0002_1168_SUV.mat,0002,SUV,Night,1000,1168
INPUT\Dataset\cegr1923\cegr01923_0002_1169_SUV.mat,0002,SUV,Night,1000,1169
INPUT\Dataset\cegr1923\cegr01923_0002_1170_SUV.mat,0002,SUV,Night,1000,1170
INPUT\Dataset\cegr1923\cegr01923_0002_1171_SUV.mat,0002,SUV,Night,1000,1171
INPUT\Dataset\cegr1923\cegr01923_0002_1172_SUV.mat,0002,SUV,Night,1000,1172
INPUT\Dataset\cegr1923\cegr01923_0002_1173_SUV.mat,0002,SUV,Night,1000,1173
INPUT\Dataset\cegr1923\cegr01923_0002_1174_SUV.mat,0002,SUV,Night,1000,1174
INPUT\Dataset\cegr1923\cegr01923_0002_1175_SUV.mat,0002,SUV,Night,1000,1175
INPUT\Dataset\cegr1923\cegr01923_0002_1176_SUV.mat,0002,SUV,Night,1000,1176
INPUT\Dataset\cegr1923\cegr01923_0002_1177_SUV.mat,0002,SUV,Night,1000,1177
INPUT\Dataset\cegr1923\cegr01923_0002_1178_SUV.mat,0002,SUV,Night,1000,1178
INPUT\Dataset\cegr1923\cegr01923_0002_1179_SUV.mat,0002,SUV,Night,1000,1179
INPUT\Dataset\cegr1923\cegr01923_0002_1180_SUV.mat,0002,SUV,Night,1000,1180
INPUT\Dataset\cegr1923\cegr01923_0002_1181_SUV.mat,0002,SUV,Night,1000,1181
INPUT\Dataset\cegr1923\cegr01923_0002_1182_SUV.mat,0002,SUV,Night,1000,1182
INPUT\Dataset\cegr1923\cegr01923_0002_1183_SUV.mat,0002,SUV,Night,1000,1183
INPUT\Dataset\cegr1923\cegr01923_0002_1184_SUV.mat,0002,SUV,Night,1000,1184
INPUT\Dataset\cegr1923\cegr01923_0002_1185_SUV.mat,0002,SUV,Night,1000,1185
INPUT\Dataset\cegr1923\cegr01923_0002_1186_SUV.mat,0002,SUV,Night,1000,1186
INPUT\Dataset\cegr1923\cegr01923_0002_1187_SUV.mat,0002,SUV,Night,1000,1187
INPUT\Dataset\cegr1923\cegr01923_0002_1188_SUV.mat,0002,SUV,Night,1000,1188
INPUT\Dataset\cegr1923\cegr01923_0002_1189_SUV.mat,0002,SUV,Night,1000,1189
INPUT\Dataset\cegr1923\cegr01923_0002_1190_SUV.mat,0002,SUV,Night,1000,1190
INPUT\Dataset\cegr1923\cegr01923_0002_1191_SUV.mat,0002,SUV,Night,1000,1191
INPUT\Dataset\cegr1923\cegr01923_0002_1192_SUV.mat,0002,SUV,Night,1000,1192
INPUT\Dataset\cegr1923\cegr01923_0002_1193_SUV.mat,0002,SUV,Night,1000,1193
INPUT\Dataset\cegr1923\cegr01923_0002_1194_SUV.mat,0002,SUV,Night,1000,1194
INPUT\Dataset\cegr1923\cegr01923_0002_1195_SUV.mat,0002,SUV,Night,1000,1195
INPUT\Dataset\cegr1923\cegr01923_0002_1196_SUV.mat,0002,SUV,Night,1000,1196
INPUT\Dataset\cegr1923\cegr01923_0002_1197_SUV.mat,0002,SUV,Night,1000,1197
INPUT\Dataset\cegr1923\cegr01923_0002_1198_SUV.mat,0002,SUV,Night,1000,1198
INPUT\Dataset\cegr1923\cegr01923_0002_1199_SUV.mat,0002,SUV,Night,1000,1199
INPUT\Dataset\cegr1923\cegr01923_0002_1200_SUV.mat,0002,SUV,Night,1000,1200
INPUT\Dataset\cegr1923\cegr01923_0002_1201_SUV.mat,0002,SUV,Night,1000,1201
INPUT\Dataset\cegr1923\cegr01923_0002_1202_SUV.mat,0002,SUV,Night,1000,1202
INPUT\Dataset\cegr1923\cegr01923_0002_1203_SUV.mat,0002,SUV,Night,1000,1203
INPUT\Dataset\cegr1923\cegr01923_0002_1204_SUV.mat,0002,SUV,Night,1000,1204
INPUT\Dataset\cegr1923\cegr01923_0002_1205_SUV.mat,0002,SUV,Night,1000,1205
INPUT\Dataset\cegr1923\cegr01923_0002_1206_SUV.mat,0002,SUV,Night,1000,1206
INPUT\Dataset\cegr1923\cegr01923_0002_1207_SUV.mat,0002,SUV,Night,1000,1207
INPUT\Dataset\cegr1923\cegr01923_0002_1208_SUV.mat,0002,SUV,Night,1000,1208
INPUT\Dataset\cegr1923\cegr01923_0002_1209_SUV.mat,0002,SUV,Night,1000,1209
INPUT\Dataset\cegr1923\cegr01923_0002_1210_SUV.mat,0002,SUV,Night,1000,1210
INPUT\Dataset\cegr1923\cegr01923_0002_1211_SUV.mat,0002,SUV,Night,1000,1211
INPUT\Dataset\cegr1923\cegr01923_0002_1212_SUV.mat,0002,SUV,Night,1000,1212
INPUT\Dataset\cegr1923\cegr01923_0002_1213_SUV.mat,0002,SUV,Night,1000,1213
INPUT\Dataset\cegr1923\cegr01923_0002_1214_SUV.mat,0002,SUV,Night,1000,1214
INPUT\Dataset\cegr1923\cegr01923_0002_1215_SUV.mat,0002,SUV,Night,1000,1215
INPUT\Dataset\cegr1923\cegr01923_0002_1216_SUV.mat,0002,SUV,Night,1000,1216
INPUT\Dataset\cegr1923\cegr01923_0002_1217_SUV.mat,0002,SUV,Night,1000,1217
INPUT\Dataset\cegr1923\cegr01923_0002_1218_SUV.mat,0002,SUV,Night,1000,1218
INPUT\Dataset\cegr1923\cegr01923_0002_1219_SUV.mat,0002,SUV,Night,1000,1219
INPUT\Dataset\cegr1923\cegr01923_0002_1220_SUV.mat,0002,SUV,Night,1000,1220
INPUT\Dataset\cegr1923\cegr01923_0002_1221_SUV.mat,0002,SUV,Night,1000,1221
INPUT\Dataset\cegr1923\cegr01923_0002_1222_SUV.mat,0002,SUV,Night,1000,1222
INPUT\Dataset\cegr1923\cegr01923_0002_1223_SUV.mat,0002,SUV,Night,1000,1223
INPUT\Dataset\cegr1923\cegr01923_0002_1224_SUV.mat,0002,SUV,Night,1000,1224
INPUT\Dataset\cegr1923\cegr01923_0002_1225_SUV.mat,0002,SUV,Night,1000,1225
INPUT\Dataset\cegr1923\cegr01923_0002_1226_SUV.mat,0002,SUV,Night,1000,1226
INPUT\Dataset\cegr1923\cegr01923_0002_1227_SUV.mat,0002,SUV,Night,1000,1227
INPUT\Dataset\cegr1923\cegr01923_0002_1228_SUV.mat,0002,SUV,Night,1000,1228
INPUT\Dataset\cegr1923\cegr01923_0002_1229_SUV.mat,0002,SUV,Night,1000,1229
INPUT\Dataset\cegr1923\cegr01923_0002_1230_SUV.mat,0002,SUV,Night,1000,1230
INPUT\Dataset\cegr1923\cegr01923_0002_1231_SUV.mat,0002,SUV,Night,1000,1231
INPUT\Dataset\cegr1923\cegr01923_0002_1232_SUV.mat,0002,SUV,Night,1000,1232
INPUT\Dataset\cegr1923\cegr01923_0002_1233_SUV.mat,0002,SUV,Night,1000,1233
INPUT\Dataset\cegr1923\cegr01923_0002_1234_SUV.mat,0002,SUV,Night,1000,1234
INPUT\Dataset\cegr1923\cegr01923_0002_1235_SUV.mat,0002,SUV,Night,1000,1235
INPUT\Dataset\cegr1923\cegr01923_0002_1236_SUV.mat,0002,SUV,Night,1000,1236
INPUT\Dataset\cegr1923\cegr01923_0002_1237_SUV.mat,0002,SUV,Night,1000,1237
INPUT\Dataset\cegr1923\cegr01923_0002_1238_SUV.mat,0002,SUV,Night,1000,1238
INPUT\Dataset\cegr1923\cegr01923_0002_1239_SUV.mat,0002,SUV,Night,1000,1239
INPUT\Dataset\cegr1923\cegr01923_0002_1240_SUV.mat,0002,SUV,Night,1000,1240
INPUT\Dataset\cegr1923\cegr01923_0002_1241_SUV.mat,0002,SUV,Night,1000,1241
INPUT\Dataset\cegr1923\cegr01923_0002_1242_SUV.mat,0002,SUV,Night,1000,1242
INPUT\Dataset\cegr1923\cegr01923_0002_1243_SUV.mat,0002,SUV,Night,1000,1243
INPUT\Dataset\cegr1923\cegr01923_0002_1244_SUV.mat,0002,SUV,Night,1000,1244
INPUT\Dataset\cegr1923\cegr01923_0002_1245_SUV.mat,0002,SUV,Night,1000,1245
INPUT\Dataset\cegr1923\cegr01923_0002_1246_SUV.mat,0002,SUV,Night,1000,1246
INPUT\Dataset\cegr1923\cegr01923_0002_1247_SUV.mat,0002,SUV,Night,1000,1247
INPUT\Dataset\cegr1923\cegr01923_0002_1248_SUV.mat,0002,SUV,Night,1000,1248
INPUT\Dataset\cegr1923\cegr01923_0002_1249_SUV.mat,0002,SUV,Night,1000,1249
INPUT\Dataset\cegr1923\cegr01923_0002_1250_SUV.mat,0002,SUV,Night,1000,1250
INPUT\Dataset\cegr1923\cegr01923_0002_1251_SUV.mat,0002,SUV,Night,1000,1251
INPUT\Dataset\cegr1923\cegr01923_0002_1252_SUV.mat,0002,SUV,Night,1000,1252
INPUT\Dataset\cegr1923\cegr01923_0002_1253_SUV.mat,0002,SUV,Night,1000,1253
INPUT\Dataset\cegr1923\cegr01923_0002_1254_SUV.mat,0002,SUV,Night,1000,1254
INPUT\Dataset\cegr1923\cegr01923_0002_1255_SUV.mat,0002,SUV,Night,1000,1255
INPUT\Dataset\cegr1923\cegr01923_0002_1256_SUV.mat,0002,SUV,Night,1000,1256
INPUT\Dataset\cegr1923\cegr01923_0002_1257_SUV.mat,0002,SUV,Night,1000,1257
INPUT\Dataset\cegr1923\cegr01923_0002_1258_SUV.mat,0002,SUV,Night,1000,1258
INPUT\Dataset\cegr1923\cegr01923_0002_1259_SUV.mat,0002,SUV,Night,1000,1259
INPUT\Dataset\cegr1923\cegr01923_0002_1260_SUV.mat,0002,SUV,Night,1000,1260
INPUT\Dataset\cegr1923\cegr01923_0002_1261_SUV.mat,0002,SUV,Night,1000,1261
INPUT\Dataset\cegr1923\cegr01923_0002_1262_SUV.mat,0002,SUV,Night,1000,1262
INPUT\Dataset\cegr1923\cegr01923_0002_1263_SUV.mat,0002,SUV,Night,1000,1263
INPUT\Dataset\cegr1923\cegr01923_0002_1264_SUV.mat,0002,SUV,Night,1000,1264
INPUT\Dataset\cegr1923\cegr01923_0002_1265_SUV.mat,0002,SUV,Night,1000,1265
INPUT\Dataset\cegr1923\cegr01923_0002_1266_SUV.mat,0002,SUV,Night,1000,1266
INPUT\Dataset\cegr1923\cegr01923_0002_1267_SUV.mat,0002,SUV,Night,1000,1267
INPUT\Dataset\cegr1923\cegr01923_0002_1268_SUV.mat,0002,SUV,Night,1000,1268
INPUT\Dataset\cegr1923\cegr01923_0002_1269_SUV.mat,0002,SUV,Night,1000,1269
INPUT\Dataset\cegr1923\cegr01923_0002_1270_SUV.mat,0002,SUV,Night,1000,1270
INPUT\Dataset\cegr1923\cegr01923_0002_1271_SUV.mat,0002,SUV,Night,1000,1271
INPUT\Dataset\cegr1923\cegr01923_0002_1272_SUV.mat,0002,SUV,Night,1000,1272
INPUT\Dataset\cegr1923\cegr01923_0002_1273_SUV.mat,0002,SUV,Night,1000,1273
INPUT\Dataset\cegr1923\cegr01923_0002_1274_SUV.mat,0002,SUV,Night,1000,1274
INPUT\Dataset\cegr1923\cegr01923_0002_1275_SUV.mat,0002,SUV,Night,1000,1275
INPUT\Dataset\cegr1923\cegr01923_0002_1276_SUV.mat,0002,SUV,Night,1000,1276
INPUT\Dataset\cegr1923\cegr01923_0002_1277_SUV.mat,0002,SUV,Night,1000,1277
INPUT\Dataset\cegr1923\cegr01923_0002_1278_SUV.mat,0002,SUV,Night,1000,1278
INPUT\Dataset\cegr1923\cegr01923_0002_1279_SUV.mat,0002,SUV,Night,1000,1279
INPUT\Dataset\cegr1923\cegr01923_0002_1280_SUV.mat,0002,SUV,Night,1000,1280
INPUT\Dataset\cegr1923\cegr01923_0002_1281_SUV.mat,0002,SUV,Night,1000,1281
INPUT\Dataset\cegr1923\cegr01923_0002_1282_SUV.mat,0002,SUV,Night,1000,1282
INPUT\Dataset\cegr1923\cegr01923_0002_1283_SUV.mat,0002,SUV,Night,1000,1283
INPUT\Dataset\cegr1923\cegr01923_0002_1284_SUV.mat,0002,SUV,Night,1000,1284
INPUT\Dataset\cegr1923\cegr01923_0002_1285_SUV.mat,0002,SUV,Night,1000,1285
INPUT\Dataset\cegr1923\cegr01923_0002_1286_SUV.mat,0002,SUV,Night,1000,1286
INPUT\Dataset\cegr1923\cegr01923_0002_1287_SUV.mat,0002,SUV,Night,1000,1287
INPUT\Dataset\cegr1923\cegr01923_0002_1288_SUV.mat,0002,SUV,Night,1000,1288
INPUT\Dataset\cegr1923\cegr01923_0002_1289_SUV.mat,0002,SUV,Night,1000,1289
INPUT\Dataset\cegr1923\cegr01923_0002_1290_SUV.mat,0002,SUV,Night,1000,1290
INPUT\Dataset\cegr1923\cegr01923_0002_1291_SUV.mat,0002,SUV,Night,1000,1291
INPUT\Dataset\cegr1923\cegr01923_0002_1292_SUV.mat,0002,SUV,Night,1000,1292
INPUT\Dataset\cegr1923\cegr01923_0002_1293_SUV.mat,0002,SUV,Night,1000,1293
INPUT\Dataset\cegr1923\cegr01923_0002_1294_SUV.mat,0002,SUV,Night,1000,1294
INPUT\Dataset\cegr1923\cegr01923_0002_1295_SUV.mat,0002,SUV,Night,1000,1295
INPUT\Dataset\cegr1923\cegr01923_0002_1296_SUV.mat,0002,SUV,Night,1000,1296
INPUT\Dataset\cegr1923\cegr01923_0002_1297_SUV.mat,0002,SUV,Night,1000,1297
INPUT\Dataset\cegr1923\cegr01923_0002_1298_SUV.mat,0002,SUV,Night,1000,1298
INPUT\Dataset\cegr1923\cegr01923_0002_1299_SUV.mat,0002,SUV,Night,1000,1299
INPUT\Dataset\cegr1923\cegr01923_0002_1300_SUV.mat,0002,SUV,Night,1000,1300
INPUT\Dataset\cegr1923\cegr01923_0002_1301_SUV.mat,0002,SUV,Night,1000,1301
INPUT\Dataset\cegr1923\cegr01923_0002_1302_SUV.mat,0002,SUV,Night,1000,1302
INPUT\Dataset\cegr1923\cegr01923_0002_1303_SUV.mat,0002,SUV,Night,1000,1303
INPUT\Dataset\cegr1923\cegr01923_0002_1304_SUV.mat,0002,SUV,Night,1000,1304
INPUT\Dataset\cegr1923\cegr01923_0002_1305_SUV.mat,0002,SUV,Night,1000,1305
INPUT\Dataset\cegr1923\cegr01923_0002_1306_SUV.mat,0002,SUV,Night,1000,1306
INPUT\Dataset\cegr1923\cegr01923_0002_1307_SUV.mat,0002,SUV,Night,1000,1307
INPUT\Dataset\cegr1923\cegr01923_0002_1308_SUV.mat,0002,SUV,Night,1000,1308
INPUT\Dataset\cegr1923\cegr01923_0002_1309_SUV.mat,0002,SUV,Night,1000,1309
INPUT\Dataset\cegr1923\cegr01923_0002_1310_SUV.mat,0002,SUV,Night,1000,1310
INPUT\Dataset\cegr1923\cegr01923_0002_1311_SUV.mat,0002,SUV,Night,1000,1311
INPUT\Dataset\cegr1923\cegr01923_0002_1312_SUV.mat,0002,SUV,Night,1000,1312
INPUT\Dataset\cegr1923\cegr01923_0002_1313_SUV.mat,0002,SUV,Night,1000,1313
INPUT\Dataset\cegr1923\cegr01923_0002_1314_SUV.mat,0002,SUV,Night,1000,1314
INPUT\Dataset\cegr1923\cegr01923_0002_1315_SUV.mat,0002,SUV,Night,1000,1315
INPUT\Dataset\cegr1923\cegr01923_0002_1316_SUV.mat,0002,SUV,Night,1000,1316
INPUT\Dataset\cegr1923\cegr01923_0002_1317_SUV.mat,0002,SUV,Night,1000,1317
INPUT\Dataset\cegr1923\cegr01923_0002_1318_SUV.mat,0002,SUV,Night,1000,1318
INPUT\Dataset\cegr1923\cegr01923_0002_1319_SUV.mat,0002,SUV,Night,1000,1319
INPUT\Dataset\cegr1923\cegr01923_0002_1320_SUV.mat,0002,SUV,Night,1000,1320
INPUT\Dataset\cegr1923\cegr01923_0002_1321_SUV.mat,0002,SUV,Night,1000,1321
INPUT\Dataset\cegr1923\cegr01923_0002_1322_SUV.mat,0002,SUV,Night,1000,1322
INPUT\Dataset\cegr1923\cegr01923_0002_1323_SUV.mat,0002,SUV,Night,1000,1323
INPUT\Dataset\cegr1923\cegr01923_0002_1324_SUV.mat,0002,SUV,Night,1000,1324
INPUT\Dataset\cegr1923\cegr01923_0002_1325_SUV.mat,0002,SUV,Night,1000,1325
INPUT\Dataset\cegr1923\cegr01923_0002_1326_SUV.mat,0002,SUV,Night,1000,1326
INPUT\Dataset\cegr1923\cegr01923_0002_1327_SUV.mat,0002,SUV,Night,1000,1327
INPUT\Dataset\cegr1923\cegr01923_0002_1328_SUV.mat,0002,SUV,Night,1000,1328
INPUT\Dataset\cegr1923\cegr01923_0002_1329_SUV.mat,0002,SUV,Night,1000,1329
INPUT\Dataset\cegr1923\cegr01923_0002_1330_SUV.mat,0002,SUV,Night,1000,1330
INPUT\Dataset\cegr1923\cegr01923_0002_1331_SUV.mat,0002,SUV,Night,1000,1331
INPUT\Dataset\cegr1923\cegr01923_0002_1332_SUV.mat,0002,SUV,Night,1000,1332
INPUT\Dataset\cegr1923\cegr01923_0002_1333_SUV.mat,0002,SUV,Night,1000,1333
INPUT\Dataset\cegr1923\cegr01923_0002_1334_SUV.mat,0002,SUV,Night,1000,1334
INPUT\Dataset\cegr1923\cegr01923_0002_1335_SUV.mat,0002,SUV,Night,1000,1335
INPUT\Dataset\cegr1923\cegr01923_0002_1336_SUV.mat,0002,SUV,Night,1000,1336
INPUT\Dataset\cegr1923\cegr01923_0002_1337_SUV.mat,0002,SUV,Night,1000,1337
INPUT\Dataset\cegr1923\cegr01923_0002_1338_SUV.mat,0002,SUV,Night,1000,1338
INPUT\Dataset\cegr1923\cegr01923_0002_1339_SUV.mat,0002,SUV,Night,1000,1339
INPUT\Dataset\cegr1923\cegr01923_0002_1340_SUV.mat,0002,SUV,Night,1000,1340
INPUT\Dataset\cegr1923\cegr01923_0002_1341_SUV.mat,0002,SUV,Night,1000,1341
INPUT\Dataset\cegr1923\cegr01923_0002_1342_SUV.mat,0002,SUV,Night,1000,1342
INPUT\Dataset\cegr1923\cegr01923_0002_1343_SUV.mat,0002,SUV,Night,1000,1343
INPUT\Dataset\cegr1923\cegr01923_0002_1344_SUV.mat,0002,SUV,Night,1000,1344
INPUT\Dataset\cegr1923\cegr01923_0002_1345_SUV.mat,0002,SUV,Night,1000,1345
INPUT\Dataset\cegr1923\cegr01923_0002_1346_SUV.mat,0002,SUV,Night,1000,1346
INPUT\Dataset\cegr1923\cegr01923_0002_1347_SUV.mat,0002,SUV,Night,1000,1347
INPUT\Dataset\cegr1923\cegr01923_0002_1348_SUV.mat,0002,SUV,Night,1000,1348
INPUT\Dataset\cegr1923\cegr01923_0002_1349_SUV.mat,0002,SUV,Night,1000,1349
INPUT\Dataset\cegr1923\cegr01923_0002_1350_SUV.mat,0002,SUV,Night,1000,1350
INPUT\Dataset\cegr1923\cegr01923_0002_1351_SUV.mat,0002,SUV,Night,1000,1351
INPUT\Dataset\cegr1923\cegr01923_0002_1352_SUV.mat,0002,SUV,Night,1000,1352
INPUT\Dataset\cegr1923\cegr01923_0002_1353_SUV.mat,0002,SUV,Night,1000,1353
INPUT\Dataset\cegr1923\cegr01923_0002_1354_SUV.mat,0002,SUV,Night,1000,1354
INPUT\Dataset\cegr1923\cegr01923_0002_1355_SUV.mat,0002,SUV,Night,1000,1355
INPUT\Dataset\cegr1923\cegr01923_0002_1356_SUV.mat,0002,SUV,Night,1000,1356
